order_id,restaurant_id,order_date,items_count,total_price_usd,payment_type,status
545a59a7-b885-41fc-a79f-4f6888cb7210,93cdeef1-3fc3-4a63-a275-0ae87ae6b335,2025-09-07T10:16,2,48.00,Card,Pending
5d2a538a-af1d-4b22-a5f5-2ce5ae4d6faa,e886c155-0dae-4b36-88f5-a86fa474d1f6,2025-01-10T10:16,9,114.30,Online,Cancelled
7dfe08dd-5991-4baf-8057-f6a2fe62fd57,ec3490d2-e8da-47ee-ae12-0ca0b1d7a2bb,2025-05-11T10:16,5,106.05,Online,Completed
aa715510-6b20-408e-8d93-e814849ab29c,fbe227d7-6d32-4407-9783-7fdac983e55f,2024-06-26T10:16,4,22.80,Online,Completed
594d05e3-217a-4b74-9f4a-cbc241f92cf7,1eeb9c5f-5b7a-47af-b4f1-5a50d9d1089c,2024-12-21T10:16,2,30.00,Card,Pending
80fe7839-7721-429f-bb02-5e5bb3c1ba8b,d3f641e5-b8b5-4f5f-9155-7768df2033e8,2024-08-13T10:16,2,30.28,Cash,Completed
39c3bcce-a328-4af1-b332-d9f0431b7f36,8250871a-2b35-424e-a1a1-4eb4faffabfb,2025-02-20T10:16,9,222.30,Cash,Completed
9104ba5d-ac83-4704-8311-54fe1f7bcc87,a5ffc907-be77-43e6-8694-4a0bf09bd3fb,2025-07-23T10:16,6,162.18,Online,Cancelled
b3174869-3254-4991-b835-8872a17d9a2b,ec3490d2-e8da-47ee-ae12-0ca0b1d7a2bb,2025-08-06T10:16,5,104.20,Card,Completed
a0ffeba0-e600-4742-be96-84b5e986a29a,500fde18-ea61-4380-9ea4-f06d09985870,2023-11-28T10:16,1,26.52,Online,Completed
4a050711-19b2-4490-91c6-b00095325caf,77ca464a-fe0d-4dcc-8f08-3eb2f7b64f76,2024-07-26T10:16,7,181.37,Cash,Completed
9d367dfd-68f6-4599-890d-2b2b9352c727,c46351bf-193f-49af-a5d6-456188837c3d,2024-05-01T10:16,7,199.50,Online,Completed
be97fc2d-81b3-4afa-9e1e-05bd41f44eb1,6e551d53-4f6d-4b84-a9de-3d7c79694805,2024-08-16T10:16,5,28.95,Online,Cancelled
1f8c304e-361d-4b99-8c7c-bf428935679f,0d463f72-c3a1-4a2b-8d0d-1721a0d1a06b,2025-02-27T10:16,5,111.55,Card,Completed
8e7ccbc0-945e-4f85-96e3-2fe7bd5e57c5,52c87fd9-fdf0-4256-b929-6153ad24a0ac,2025-11-06T10:16,2,13.24,Card,Completed
390432e3-3b2d-4f29-b2f8-d30136fb6251,2a109685-1399-4149-8951-fba29bb0360d,2024-11-20T10:16,1,26.15,Card,Completed
a189eabf-19f3-46a3-91ac-005e6de0cb3e,bb6ceda0-3f7a-4dfa-9862-41a88dd468b2,2025-01-03T10:16,2,47.82,Online,Completed
bd8599b3-2472-429e-865e-99ec5ff9b5b2,6e6d2c67-f7fb-4a98-8f9a-4822259b25c4,2024-04-26T10:16,3,73.71,Online,Pending
6201781f-6f2a-4a14-b1f7-20cc0277fa2b,6945f6f4-b8f9-4d04-90ff-e59ed705578e,2024-10-15T10:16,7,188.93,Online,Completed
449a8ea2-ef6e-48cc-99aa-550c83f3d833,bfa3444b-2be9-46be-b944-720d86a59770,2025-09-09T10:16,5,49.90,Online,Cancelled
659288d0-6396-4a50-8632-44fe45f03d34,5d6f84a5-a4de-442e-99b9-b8ef714b4436,2025-11-10T10:16,9,215.46,Cash,Completed
eb9fa042-f488-488b-a665-7cbf14f27311,1a48aa9a-def3-481d-922a-94300aa97309,2024-05-02T10:16,6,115.56,Online,Cancelled
4c55381b-b2d6-4ceb-9c81-2498e20655fa,3910ab11-8758-4a4f-8a9b-c4f5df7413c4,2024-02-18T10:16,7,85.61,Online,Pending
a15ee7fa-7198-4d6a-866a-1d99f0c811b7,0a5bd884-b432-4ce5-b14e-44b4aedd4c0f,2024-04-01T10:16,6,149.28,Online,Pending
b0145168-2446-468a-951d-dd4d29e0ee33,8b115a34-224b-453c-be69-b53a7445b466,2025-10-15T10:16,6,50.88,Card,Completed
